word,length,arousal,valence,dominance,concreteness,imageability,familiarity,aoa,semsize,gender
puzzle (mystery),6,5.879,5.382,4.697,3.912,3.667,5.412,2.879,4.469,3.912
quack (charlatan),5,4.429,3.143,4.630,3.643,3.750,2.606,5.800,3.444,4.677
quack (duck),5,4.441,5.588,4.971,4.853,4.939,5.182,1.706,2.515,3.677
queen (gay),5,4.853,5.294,5.118,3.618,4.912,3.429,6.324,4.424,3.559
queen (king),5,5.576,6.394,5.333,6.091,6.546,6.129,2.485,5.576,1.546
race (colour),4,4.714,5.029,4.849,4.343,5.286,6.059,4.543,5.343,4.229
race (contest),4,5.871,5.516,5.406,4.788,5.813,5.968,2.546,4.677,5.125
racket (noise),6,4.969,3.706,4.543,4.324,3.303,5.343,3.849,5.161,4.235
racket (tennis),6,3.969,5.469,5.452,6.774,6.576,6.000,3.515,3.188,4.273
raise (bring up),5,4.706,6.727,4.943,3.800,3.886,5.606,4.086,4.629,3.257
raise (increase),5,5.824,6.824,5.857,3.657,3.853,5.941,3.857,5.118,4.086
raise (lift),5,4.829,6.257,6.257,4.857,4.971,5.030,3.857,4.455,4.257
range (array),5,3.500,5.324,5.412,3.177,2.656,4.727,5.441,4.412,4.212
range (outdoors),5,4.938,5.903,5.750,4.750,4.333,4.273,5.125,5.438,5.313
rank (foul),4,3.750,2.031,4.515,2.970,3.807,4.576,5.121,4.094,5.031
rank (position),4,4.152,5.088,6.171,3.882,3.353,4.313,5.000,4.314,5.471
rare (uncommon),4,6.281,6.371,5.515,2.514,2.882,5.853,4.118,4.314,3.382
rare (uncooked),4,3.382,4.394,4.849,4.857,5.182,4.879,4.943,2.771,4.576
rash (reckless),4,5.273,3.182,4.875,2.667,2.938,4.067,5.485,4.419,5.000
rash (skin),4,3.257,2.382,3.600,6.029,6.400,5.471,3.371,2.886,3.914
rat (animal),3,4.563,4.030,4.807,6.677,6.813,6.548,2.563,2.226,4.970
rat (inform),3,3.857,3.257,4.546,4.206,4.088,3.485,4.912,3.143,4.829
rear (behind),4,4.571,4.941,4.765,5.371,4.886,4.941,4.500,3.667,3.600
